TIPO,ID_PRUEBA,GRUPO,PRUEBA,ANALISIS,ID_REFERENCIA,POBLACION_ID,SEXO,VALOR_MIN,VALOR_MAX,UNIDAD,ID_TIPO_RESULTADO
simple,153,"Pruebas Gastricas","Antigliadina IgA","Antigliadina IgA",891,15,ambos,0,12,UI/ml,3
simple,44,"Quimica Sanguinea",Glicemia,Glicemia,317,6,ambos,"NEGATIVO                                                                                                      TRAZAS                                                                                                       POSITIVO ( + )                                                                                      POSITIVO ( ++ )                                                                                          POSITIVO  ( +++ )",,,3
simple,44,"Quimica Sanguinea",Glicemia,Glicemia,318,7,ambos,"NEGATIVO                                                                                                      TRAZAS                                                                                                       POSITIVO ( + )                                                                                      POSITIVO ( ++ )                                                                                          POSITIVO  ( +++ )",,,3
simple,44,"Quimica Sanguinea",Glicemia,Glicemia,319,8,ambos,"NEGATIVO                                                                                                      TRAZAS                                                                                                       POSITIVO ( + )                                                                                      POSITIVO ( ++ )                                                                                          POSITIVO  ( +++ )",,,3
simple,44,"Quimica Sanguinea",Glicemia,Glicemia,320,9,ambos,"NEGATIVO                                                                                                      TRAZAS                                                                                                       POSITIVO ( + )                                                                                      POSITIVO ( ++ )                                                                                          POSITIVO  ( +++ )",,,3
simple,44,"Quimica Sanguinea",Glicemia,Glicemia,321,10,ambos,"NEGATIVO                                                                                                      TRAZAS                                                                                                       POSITIVO ( + )                                                                                      POSITIVO ( ++ )                                                                                          POSITIVO  ( +++ )",,,3
simple,44,"Quimica Sanguinea",Glicemia,Glicemia,322,11,ambos,"NEGATIVO                                                                                                      TRAZAS                                                                                                       POSITIVO ( + )                                                                                      POSITIVO ( ++ )                                                                                          POSITIVO  ( +++ )",,,3
simple,44,"Quimica Sanguinea",Glicemia,Glicemia,323,12,ambos,"NEGATIVO                                                                                                      TRAZAS                                                                                                       POSITIVO ( + )                                                                                      POSITIVO ( ++ )                                                                                          POSITIVO  ( +++ )",,,3
simple,35,"Quimica Sanguinea","Bilirrubina (D,I,T)","Bilirrubina (D,I,T)",252,6,ambos,"NEGATIVO                                                                                                      TRAZAS                                                                                                       POSITIVO ( + )                                                                                      POSITIVO ( ++ )                                                                                          POSITIVO  ( +++ )",,,3
simple,35,"Quimica Sanguinea","Bilirrubina (D,I,T)","Bilirrubina (D,I,T)",253,7,ambos,"NEGATIVO                                                                                                      TRAZAS                                                                                                       POSITIVO ( + )                                                                                      POSITIVO ( ++ )                                                                                          POSITIVO  ( +++ )",,,3
simple,35,"Quimica Sanguinea","Bilirrubina (D,I,T)","Bilirrubina (D,I,T)",254,8,ambos,"NEGATIVO                                                                                                      TRAZAS                                                                                                       POSITIVO ( + )                                                                                      POSITIVO ( ++ )                                                                                          POSITIVO  ( +++ )",,,3
simple,35,"Quimica Sanguinea","Bilirrubina (D,I,T)","Bilirrubina (D,I,T)",255,9,ambos,"NEGATIVO                                                                                                      TRAZAS                                                                                                       POSITIVO ( + )                                                                                      POSITIVO ( ++ )                                                                                          POSITIVO  ( +++ )",,,3
simple,35,"Quimica Sanguinea","Bilirrubina (D,I,T)","Bilirrubina (D,I,T)",256,10,ambos,"NEGATIVO                                                                                                      TRAZAS                                                                                                       POSITIVO ( + )                                                                                      POSITIVO ( ++ )                                                                                          POSITIVO  ( +++ )",,,3
simple,35,"Quimica Sanguinea","Bilirrubina (D,I,T)","Bilirrubina (D,I,T)",257,11,ambos,"NEGATIVO                                                                                                      TRAZAS                                                                                                       POSITIVO ( + )                                                                                      POSITIVO ( ++ )                                                                                          POSITIVO  ( +++ )",,,3
simple,35,"Quimica Sanguinea","Bilirrubina (D,I,T)","Bilirrubina (D,I,T)",258,12,ambos,"NEGATIVO                                                                                                      TRAZAS                                                                                                       POSITIVO ( + )                                                                                      POSITIVO ( ++ )                                                                                          POSITIVO  ( +++ )",,,3
simple,3,Hematologia,Hemoglobina,Hemoglobina,87,6,ambos,"NEGATIVO                                                                                                      TRAZAS                                                                                                       POSITIVO ( + )                                                                                      POSITIVO ( ++ )                                                                                          POSITIVO  ( +++ )",,,3
simple,3,Hematologia,Hemoglobina,Hemoglobina,88,7,ambos,"NEGATIVO                                                                                                      TRAZAS                                                                                                       POSITIVO ( + )                                                                                      POSITIVO ( ++ )                                                                                          POSITIVO  ( +++ )",,,3
simple,3,Hematologia,Hemoglobina,Hemoglobina,89,8,ambos,"NEGATIVO                                                                                                      TRAZAS                                                                                                       POSITIVO ( + )                                                                                      POSITIVO ( ++ )                                                                                          POSITIVO  ( +++ )",,,3
